geography,count,total,industryName,id
E08000024,3550,117153,"Professional, scientific and technical activities",183
E08000024,5952,117153,Administrative and support service activities,184
E08000024,9463,117153,Public administration and defence; compulsory social security,185
E08000024,10234,117153,Education,186
E08000024,18899,117153,Human health and social work activities,187
E08000037,153,87512,"Agriculture, Forestry and fishing",188
E08000037,273,87512,Mining and quarrying,189
E08000037,7203,87512,Manufacturing,190
E08000037,681,87512,"Electricity, gas, steam and air conditioning supply",191
E08000037,573,87512,"Water supply; Sewerage, Waste management and Remediation activities",192
E08000037,6980,87512,Construction,193
E08000037,13231,87512,Wholesale and retail trade; repair of motor vehicles and motorcycles,194
E08000037,4446,87512,Transport and storage,195
E08000037,4513,87512,Accommodation and food service activities,196
E08000037,3293,87512,Information and communication,197
E08000037,2467,87512,Financial and insurance activities,198
E08000037,1266,87512,Real estate activities,199
E08000037,4274,87512,"Professional, scientific and technical activities",200
E08000037,4548,87512,Administrative and support service activities,201
E08000037,7014,87512,Public administration and defence; compulsory social security,202
E08000037,8611,87512,Education,203
E08000037,14446,87512,Human health and social work activities,204
E06000006,96,58710,"Agriculture, Forestry and fishing",205
E06000006,116,58710,Mining and quarrying,206
E06000006,6045,58710,Manufacturing,207
E06000006,476,58710,"Electricity, gas, steam and air conditioning supply",208
E06000006,797,58710,"Water supply; Sewerage, Waste management and Remediation activities",209
E06000006,4879,58710,Construction,210
E06000006,10421,58710,Wholesale and retail trade; repair of motor vehicles and motorcycles,211
E06000006,4060,58710,Transport and storage,212
E06000006,2425,58710,Accommodation and food service activities,213
E06000006,2399,58710,Information and communication,214
E06000006,1269,58710,Financial and insurance activities,215
E06000006,785,58710,Real estate activities,216
E06000006,3141,58710,"Professional, scientific and technical activities",217
E06000006,3350,58710,Administrative and support service activities,218
E06000006,3491,58710,Public administration and defence; compulsory social security,219
E06000006,4696,58710,Education,220
E06000006,8177,58710,Human health and social work activities,221
E06000007,312,103190,"Agriculture, Forestry and fishing",222
E06000007,128,103190,Mining and quarrying,223
E06000007,7428,103190,Manufacturing,224
E06000007,1025,103190,"Electricity, gas, steam and air conditioning supply",225
E06000007,2076,103190,"Water supply; Sewerage, Waste management and Remediation activities",226
E06000007,8414,103190,Construction,227
E06000007,17513,103190,Wholesale and retail trade; repair of motor vehicles and motorcycles,228
E06000007,6492,103190,Transport and storage,229
E06000007,4163,103190,Accommodation and food service activities,230
E06000007,5303,103190,Information and communication,231
E06000007,2879,103190,Financial and insurance activities,232
E06000007,1464,103190,Real estate activities,233
E06000007,7349,103190,"Professional, scientific and technical activities",234
E06000007,5726,103190,Administrative and support service activities,235
E06000007,5619,103190,Public administration and defence; compulsory social security,236
E06000007,8601,103190,Education,237
E06000007,14608,103190,Human health and social work activities,238
E06000008,161,63561,"Agriculture, Forestry and fishing",239
E06000008,29,63561,Mining and quarrying,240
E06000008,7875,63561,Manufacturing,241
E06000008,305,63561,"Electricity, gas, steam and air conditioning supply",242
E06000008,345,63561,"Water supply; Sewerage, Waste management and Remediation activities",243
E06000008,4321,63561,Construction,244
